	Princess Irene_mtDNA	Prince Fred_mtDNA	Nicolas II Romanov_mtDNA	Alexandra Romanov_mtDNA	Olga Romanov_mtDNA	Tatiana Romanov_mtDNA	Maria Romanov_mtDNA	Alexei Romanov_mtDNA	Suspected body of Anastasia Romanov_mtDNA	Anastasia1_mtDNA	Anastasia2_mtDNA	Anastasia3_mtDNA	Anastasia4 son_mtDNA	Anastasia5_mtDNA	Farmers grandson_mtDNA	Grigori Rasputin_mtDNA
Princess Irene_mtDNA	.	0.0	0.6648745519713262	0.4086021505376345	0.2171018945212495	0.5367383512544803	0.08924731182795698	0.19261337073398788	0.15959252971137527	0.2508960573476703	0.21935483870967754	0.14421252371916515	0.17204301075268824	0.3214487832484437	0.2508960573476703	0.5268817204301075
Prince Fred_mtDNA	0.0	.	0.6944444444444444	0.4408602150537635	0.11571940604198672	0.5170250896057349	0.27849462365591404	0.2846902201740912	0.19694397283531406	0.29032258064516137	0.12473118279569895	0.2666666666666667	0.20583717357910913	0.3214487832484437	0.17204301075268824	0.5268817204301075
Nicolas II Romanov_mtDNA	0.6648745519713262	0.6944444444444444	.	1.0	0.7916026625704045	0.9831029185867896	0.7843137254901961	0.7419354838709677	0.7014848950332822	0.7752688172043011	0.793010752688172	0.7703984819734345	0.6965871902758298	0.7108721624850657	0.819468024900962	0.5723738626964434
Alexandra Romanov_mtDNA	0.4086021505376345	0.4408602150537635	1.0	.	0.47431302270011944	0.7240143369175627	0.6845878136200717	0.6001024065540195	0.5206564799094511	0.5387096774193549	0.7634408602150538	0.5564516129032258	0.4649257552483359	0.6949632144878325	0.7982289690069576	0.6254480286738351
Olga Romanov_mtDNA	0.2171018945212495	0.11571940604198672	0.7916026625704045	0.47431302270011944	.	0.575585072738773	0.5794504181600957	0.4086021505376345	0.4225173940543959	0.4225173940543959	0.28243727598566315	0.5416666666666667	0.4086021505376345	0.5616698292220115	0.30346475507765824	0.6236559139784947
Tatiana Romanov_mtDNA	0.5367383512544803	0.5170250896057349	0.9831029185867896	0.7240143369175627	0.575585072738773	.	0.7516129032258064	0.6700622524052067	0.6338965693804404	0.6451612903225807	0.7043010752688172	0.72865275142315	0.5731650303880318	0.735279057859703	0.7447651386530844	0.6542597187758479
Maria Romanov_mtDNA	0.08924731182795698	0.27849462365591404	0.7843137254901961	0.6845878136200717	0.5794504181600957	0.7516129032258064	.	0.2965478211658178	0.4225173940543959	0.5331069609507639	0.44014336917562724	0.260752688172043	0.4086021505376345	0.34946236559139787	0.46426312460468067	0.6344086021505377
Alexei Romanov_mtDNA	0.19261337073398788	0.2846902201740912	0.7419354838709677	0.6001024065540195	0.4086021505376345	0.6700622524052067	0.2965478211658178	.	0.3823178016726404	0.4086021505376345	0.3770609318996416	0.2833649588867806	0.3731182795698925	0.3823178016726404	0.43488649940262847	0.5320243104254325
Suspected body of Anastasia Romanov_mtDNA	0.15959252971137527	0.19694397283531406	0.7014848950332822	0.5206564799094511	0.4225173940543959	0.6338965693804404	0.4225173940543959	0.3823178016726404	.	0.3612903225806452	0.34946236559139787	0.29032258064516137	0.03686635944700467	0.10633213859020318	0.3612903225806452	0.5437788018433181
Anastasia1_mtDNA	0.2508960573476703	0.29032258064516137	0.7752688172043011	0.5387096774193549	0.4225173940543959	0.6451612903225807	0.5331069609507639	0.4086021505376345	0.3612903225806452	.	0.17204301075268824	0.39170506912442393	0.3111954459203037	0.5416666666666667	0.18894009216589858	0.5387096774193549
Anastasia2_mtDNA	0.21935483870967754	0.12473118279569895	0.793010752688172	0.7634408602150538	0.28243727598566315	0.7043010752688172	0.44014336917562724	0.3770609318996416	0.34946236559139787	0.17204301075268824	.	0.4086021505376345	0.3410138248847927	0.44499586435070304	0.024193548387096864	0.5120967741935485
Anastasia3_mtDNA	0.14421252371916515	0.2666666666666667	0.7703984819734345	0.5564516129032258	0.5416666666666667	0.72865275142315	0.260752688172043	0.2833649588867806	0.29032258064516137	0.39170506912442393	0.4086021505376345	.	0.29032258064516137	0.5099846390168971	0.39170506912442393	0.39468690702087295
Anastasia4 son_mtDNA	0.17204301075268824	0.20583717357910913	0.6965871902758298	0.4649257552483359	0.4086021505376345	0.5731650303880318	0.4086021505376345	0.3731182795698925	0.03686635944700467	0.3111954459203037	0.3410138248847927	0.29032258064516137	.	0.14575866188769415	0.3529411764705883	0.49088359046283303
Anastasia5_mtDNA	0.3214487832484437	0.3214487832484437	0.7108721624850657	0.6949632144878325	0.5616698292220115	0.735279057859703	0.34946236559139787	0.3823178016726404	0.10633213859020318	0.5416666666666667	0.44499586435070304	0.5099846390168971	0.14575866188769415	.	0.4243727598566309	0.5550435227854583
Farmers grandson_mtDNA	0.2508960573476703	0.17204301075268824	0.819468024900962	0.7982289690069576	0.30346475507765824	0.7447651386530844	0.46426312460468067	0.43488649940262847	0.3612903225806452	0.18894009216589858	0.024193548387096864	0.39170506912442393	0.3529411764705883	0.4243727598566309	.	0.42105263157894746
Grigori Rasputin_mtDNA	0.5268817204301075	0.5268817204301075	0.5723738626964434	0.6254480286738351	0.6236559139784947	0.6542597187758479	0.6344086021505377	0.5320243104254325	0.5437788018433181	0.5387096774193549	0.5120967741935485	0.39468690702087295	0.49088359046283303	0.5550435227854583	0.42105263157894746	.
