	Princess Irene_mtDNA	Prince Fred_mtDNA	Nicolas II Romanov_mtDNA	Alexandra Romanov_mtDNA	Olga Romanov_mtDNA	Tatiana Romanov_mtDNA	Maria Romanov_mtDNA	Alexei Romanov_mtDNA	Suspected body of Anastasia Romanov_mtDNA	Anastasia1_mtDNA	Anastasia2_mtDNA	Anastasia3_mtDNA	Anastasia4 son_mtDNA	Anastasia5_mtDNA	Farmers grandson_mtDNA	Grigori Rasputin_mtDNA
Princess Irene_mtDNA	.	0.35820433941438495	15.32668782376574	1.1681086301275414	0.737892038527441	4.004354520801198	0.5234690531678755	0.5889468521008132	0.8239592165010822	1.1681086301275414	1.3330966233954227	0.9211991226712353	0.737892038527441	1.1681086301275414	1.1681086301275414	15.32668782376574
Prince Fred_mtDNA	0.35820433941438495	.	15.32668782376574	1.3330966233954227	0.5234690531678755	1.8319603031983118	0.8239592165010822	0.9211991226712353	0.9211991226712353	1.3330966233954227	1.0361293832910698	1.5386752536853918	0.8239592165010822	1.1681086301275414	0.9211991226712353	15.32668782376574
Nicolas II Romanov_mtDNA	15.32668782376574	15.32668782376574	.	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574
Alexandra Romanov_mtDNA	1.1681086301275414	1.3330966233954227	15.32668782376574	.	1.8319603031983118	15.32668782376574	1.8319603031983118	15.32668782376574	2.3028418648124456	1.8319603031983118	15.32668782376574	2.3028418648124456	1.5386752536853918	15.32668782376574	15.32668782376574	15.32668782376574
Olga Romanov_mtDNA	0.737892038527441	0.5234690531678755	15.32668782376574	1.8319603031983118	.	1.8319603031983118	1.8319603031983118	1.3330966233954227	1.5386752536853918	1.5386752536853918	1.3330966233954227	4.004354520801198	1.3330966233954227	2.3028418648124456	1.1681086301275414	15.32668782376574
Tatiana Romanov_mtDNA	4.004354520801198	1.8319603031983118	15.32668782376574	15.32668782376574	1.8319603031983118	.	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	4.004354520801198	15.32668782376574	15.32668782376574	15.32668782376574
Maria Romanov_mtDNA	0.5234690531678755	0.8239592165010822	15.32668782376574	1.8319603031983118	1.8319603031983118	15.32668782376574	.	0.9211991226712353	1.5386752536853918	1.8319603031983118	1.8319603031983118	1.1681086301275414	1.3330966233954227	1.5386752536853918	1.8319603031983118	15.32668782376574
Alexei Romanov_mtDNA	0.5889468521008132	0.9211991226712353	15.32668782376574	15.32668782376574	1.3330966233954227	15.32668782376574	0.9211991226712353	.	1.5386752536853918	1.8319603031983118	1.8319603031983118	1.1681086301275414	1.3330966233954227	1.5386752536853918	1.5386752536853918	4.004354520801198
Suspected body of Anastasia Romanov_mtDNA	0.8239592165010822	0.9211991226712353	15.32668782376574	2.3028418648124456	1.5386752536853918	15.32668782376574	1.5386752536853918	1.5386752536853918	.	2.3028418648124456	4.004354520801198	2.3028418648124456	0.4647366885381766	0.6587646694003219	2.3028418648124456	15.32668782376574
Anastasia1_mtDNA	1.1681086301275414	1.3330966233954227	15.32668782376574	1.8319603031983118	1.5386752536853918	15.32668782376574	1.8319603031983118	1.8319603031983118	2.3028418648124456	.	1.5386752536853918	4.004354520801198	1.5386752536853918	4.004354520801198	1.3330966233954227	15.32668782376574
Anastasia2_mtDNA	1.3330966233954227	1.0361293832910698	15.32668782376574	15.32668782376574	1.3330966233954227	15.32668782376574	1.8319603031983118	1.8319603031983118	4.004354520801198	1.5386752536853918	.	15.32668782376574	2.3028418648124456	4.004354520801198	0.737892038527441	15.32668782376574
Anastasia3_mtDNA	0.9211991226712353	1.5386752536853918	15.32668782376574	2.3028418648124456	4.004354520801198	15.32668782376574	1.1681086301275414	1.1681086301275414	2.3028418648124456	4.004354520801198	15.32668782376574	.	1.8319603031983118	15.32668782376574	4.004354520801198	2.3028418648124456
Anastasia4 son_mtDNA	0.737892038527441	0.8239592165010822	15.32668782376574	1.5386752536853918	1.3330966233954227	4.004354520801198	1.3330966233954227	1.3330966233954227	0.4647366885381766	1.5386752536853918	2.3028418648124456	1.8319603031983118	.	0.737892038527441	1.8319603031983118	4.004354520801198
Anastasia5_mtDNA	1.1681086301275414	1.1681086301275414	15.32668782376574	15.32668782376574	2.3028418648124456	15.32668782376574	1.5386752536853918	1.5386752536853918	0.6587646694003219	4.004354520801198	4.004354520801198	15.32668782376574	0.737892038527441	.	2.3028418648124456	15.32668782376574
Farmers grandson_mtDNA	1.1681086301275414	0.9211991226712353	15.32668782376574	15.32668782376574	1.1681086301275414	15.32668782376574	1.8319603031983118	1.5386752536853918	2.3028418648124456	1.3330966233954227	0.737892038527441	4.004354520801198	1.8319603031983118	2.3028418648124456	.	2.3028418648124456
Grigori Rasputin_mtDNA	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	15.32668782376574	4.004354520801198	15.32668782376574	15.32668782376574	15.32668782376574	2.3028418648124456	4.004354520801198	15.32668782376574	2.3028418648124456	.
