	Princess Irene_mtDNA	Prince Fred_mtDNA	Nicolas II Romanov_mtDNA	Alexandra Romanov_mtDNA	Olga Romanov_mtDNA	Tatiana Romanov_mtDNA	Maria Romanov_mtDNA	Alexei Romanov_mtDNA	Suspected body of Anastasia Romanov_mtDNA	Anastasia1_mtDNA	Anastasia2_mtDNA	Anastasia3_mtDNA	Anastasia4 son_mtDNA	Anastasia5_mtDNA	Farmers grandson_mtDNA	Grigori Rasputin_mtDNA
Princess Irene_mtDNA	.	0.285	0.838	0.592	0.47	0.746	0.377	0.408	0.5	0.592	0.623	0.53	0.47	0.592	0.592	0.777
Prince Fred_mtDNA	0.285	.	0.87	0.623	0.377	0.685	0.5	0.53	0.53	0.623	0.562	0.654	0.5	0.592	0.53	0.777
Nicolas II Romanov_mtDNA	0.838	0.87	.	0.87	0.87	0.9	0.838	0.87	0.87	0.808	0.838	0.87	0.87	0.87	0.838	0.777
Alexandra Romanov_mtDNA	0.592	0.623	0.87	.	0.685	0.777	0.685	0.777	0.715	0.685	0.808	0.715	0.654	0.777	0.808	0.838
Olga Romanov_mtDNA	0.47	0.377	0.87	0.685	.	0.685	0.685	0.623	0.654	0.654	0.623	0.746	0.623	0.715	0.592	0.838
Tatiana Romanov_mtDNA	0.746	0.685	0.9	0.777	0.685	.	0.87	0.838	0.808	0.777	0.777	0.838	0.746	0.9	0.777	0.87
Maria Romanov_mtDNA	0.377	0.5	0.838	0.685	0.685	0.87	.	0.53	0.654	0.685	0.685	0.592	0.623	0.654	0.685	0.808
Alexei Romanov_mtDNA	0.408	0.53	0.87	0.777	0.623	0.838	0.53	.	0.654	0.685	0.685	0.592	0.623	0.654	0.654	0.746
Suspected body of Anastasia Romanov_mtDNA	0.5	0.53	0.87	0.715	0.654	0.808	0.654	0.654	.	0.715	0.746	0.715	0.346	0.438	0.715	0.808
Anastasia1_mtDNA	0.592	0.623	0.808	0.685	0.654	0.777	0.685	0.685	0.715	.	0.654	0.746	0.654	0.746	0.623	0.808
Anastasia2_mtDNA	0.623	0.562	0.838	0.808	0.623	0.777	0.685	0.685	0.746	0.654	.	0.777	0.715	0.746	0.47	0.808
Anastasia3_mtDNA	0.53	0.654	0.87	0.715	0.746	0.838	0.592	0.592	0.715	0.746	0.777	.	0.685	0.777	0.746	0.715
Anastasia4 son_mtDNA	0.47	0.5	0.87	0.654	0.623	0.746	0.623	0.623	0.346	0.654	0.715	0.685	.	0.47	0.685	0.746
Anastasia5_mtDNA	0.592	0.592	0.87	0.777	0.715	0.9	0.654	0.654	0.438	0.746	0.746	0.777	0.47	.	0.715	0.777
Farmers grandson_mtDNA	0.592	0.53	0.838	0.808	0.592	0.777	0.685	0.654	0.715	0.623	0.47	0.746	0.685	0.715	.	0.715
Grigori Rasputin_mtDNA	0.777	0.777	0.777	0.838	0.838	0.87	0.808	0.746	0.808	0.808	0.808	0.715	0.746	0.777	0.715	.
