	Princess Irene_mtDNA	Prince Fred_mtDNA	Nicolas II Romanov_mtDNA	Alexandra Romanov_mtDNA	Olga Romanov_mtDNA	Tatiana Romanov_mtDNA	Maria Romanov_mtDNA	Alexei Romanov_mtDNA	Suspected body of Anastasia Romanov_mtDNA	Anastasia1_mtDNA	Anastasia2_mtDNA	Anastasia3_mtDNA	Anastasia4 son_mtDNA	Anastasia5_mtDNA	Farmers grandson_mtDNA	Grigori Rasputin_mtDNA
Princess Irene_mtDNA	.	0.28479999999999994	0.8336	0.5664	0.45199999999999996	0.7336	0.3336	0.36639999999999995	0.5	0.592	0.612	0.5	0.46960000000000013	0.592	0.5800000000000001	0.7767999999999999
Prince Fred_mtDNA	0.28479999999999994	.	0.8695999999999999	0.6	0.3336	0.6664	0.5	0.5304	0.5304	0.6232	0.548	0.6536	0.5	0.592	0.516	0.7767999999999999
Nicolas II Romanov_mtDNA	0.8336	0.8695999999999999	.	0.8432	0.8655999999999999	0.9	0.8056	0.8655999999999999	0.8655999999999999	0.78	0.8200000000000001	0.8552	0.868	0.8552	0.8304	0.7767999999999999
Alexandra Romanov_mtDNA	0.5664	0.6	0.8432	.	0.62	0.6536	0.62	0.7664	0.708	0.6336	0.7856	0.6472	0.6439999999999999	0.7608	0.796	0.8384
Olga Romanov_mtDNA	0.45199999999999996	0.3336	0.8655999999999999	0.62	.	0.5704	0.6759999999999999	0.5728	0.6439999999999999	0.6439999999999999	0.5568	0.7184	0.612	0.7152000000000001	0.5192	0.8384
Tatiana Romanov_mtDNA	0.7336	0.6664	0.9	0.6536	0.5704	.	0.8615999999999999	0.8160000000000001	0.796	0.748	0.712	0.8111999999999999	0.7263999999999999	0.9	0.74	0.8695999999999999
Maria Romanov_mtDNA	0.3336	0.5	0.8056	0.62	0.6759999999999999	0.8615999999999999	.	0.5	0.6536	0.6456	0.6456	0.5192	0.6232	0.5952	0.6568	0.808
Alexei Romanov_mtDNA	0.36639999999999995	0.5304	0.8655999999999999	0.7664	0.5728	0.8160000000000001	0.5	.	0.6336	0.6848000000000001	0.6336	0.552	0.6	0.6536	0.6088	0.7464
Suspected body of Anastasia Romanov_mtDNA	0.5	0.5304	0.8655999999999999	0.708	0.6439999999999999	0.796	0.6536	0.6336	.	0.7152000000000001	0.74	0.7152000000000001	0.27360000000000007	0.4	0.708	0.808
Anastasia1_mtDNA	0.592	0.6232	0.78	0.6336	0.6439999999999999	0.748	0.6456	0.6848000000000001	0.7152000000000001	.	0.6336	0.7263999999999999	0.6536	0.7336	0.612	0.808
Anastasia2_mtDNA	0.612	0.548	0.8200000000000001	0.7856	0.5568	0.712	0.6456	0.6336	0.74	0.6336	.	0.748	0.708	0.7336	0.3104	0.808
Anastasia3_mtDNA	0.5	0.6536	0.8552	0.6472	0.7184	0.8111999999999999	0.5192	0.552	0.7152000000000001	0.7263999999999999	0.748	.	0.6848000000000001	0.7664	0.7184	0.7152000000000001
Anastasia4 son_mtDNA	0.46960000000000013	0.5	0.868	0.6439999999999999	0.612	0.7263999999999999	0.6232	0.6	0.27360000000000007	0.6536	0.708	0.6848000000000001	.	0.46960000000000013	0.6759999999999999	0.7464
Anastasia5_mtDNA	0.592	0.592	0.8552	0.7608	0.7152000000000001	0.9	0.5952	0.6536	0.4	0.7336	0.7336	0.7664	0.46960000000000013	.	0.708	0.7767999999999999
Farmers grandson_mtDNA	0.5800000000000001	0.516	0.8304	0.796	0.5192	0.74	0.6568	0.6088	0.708	0.612	0.3104	0.7184	0.6759999999999999	0.708	.	0.7152000000000001
Grigori Rasputin_mtDNA	0.7767999999999999	0.7767999999999999	0.7767999999999999	0.8384	0.8384	0.8695999999999999	0.808	0.7464	0.808	0.808	0.808	0.7152000000000001	0.7464	0.7767999999999999	0.7152000000000001	.
